"state","week","deathsum","committee","individual"
"150","IL",2020-04-28,657,NA,NA
"151","IL",2020-05-05,332,NA,NA
"152","IN",2020-03-10,NA,60993,244393
"153","IN",2020-03-17,2,64300,170782
"154","IN",2020-03-24,10,38000,119560
"155","IN",2020-03-31,37,44990,316335
"156","IN",2020-04-07,124,NA,NA
"157","IN",2020-04-14,215,NA,NA
"158","IN",2020-04-21,242,NA,NA
"159","IN",2020-04-28,271,NA,NA
"160","IN",2020-05-05,274,NA,NA
"161","KS",2020-03-10,NA,49000,77973
"162","KS",2020-03-17,1,81300,57841
"163","KS",2020-03-24,1,70000,31074
"164","KS",2020-03-31,7,95700,99720
"165","KS",2020-04-07,18,NA,NA
"166","KS",2020-04-14,42,NA,NA
"167","KS",2020-04-21,38,NA,NA
"168","KS",2020-04-28,17,NA,NA
"169","KS",2020-05-05,6,NA,NA
"170","KY",2020-03-10,NA,83499,127226
"171","KY",2020-03-17,1,107327,70223
"172","KY",2020-03-24,3,77500,51087
"173","KY",2020-03-31,7,42450,80102
"174","KY",2020-04-07,48,NA,NA
"175","KY",2020-04-14,45,NA,NA
"176","KY",2020-04-21,50,NA,NA
"177","KY",2020-04-28,59,NA,NA
"178","KY",2020-05-05,27,NA,NA
"179","LA",2020-03-10,NA,66000,82118
"180","LA",2020-03-17,4,120750,44433
"181","LA",2020-03-24,42,29500,58986
"182","LA",2020-03-31,193,48500,108652
"183","LA",2020-04-07,343,NA,NA
"184","LA",2020-04-14,431,NA,NA
"185","LA",2020-04-21,392,NA,NA
"186","LA",2020-04-28,396,NA,NA
"187","LA",2020-05-05,126,NA,NA
"188","MA",2020-03-17,NA,88436,422955
"189","MA",2020-03-24,26,67906,353653
"190","MA",2020-03-31,127,169435,866434
"191","MA",2020-04-07,362,NA,6350
"192","MA",2020-04-14,814,NA,NA
"193","MA",2020-04-21,1120,NA,NA
"194","MA",2020-04-28,704,NA,NA
"195","MA",2020-05-05,563,NA,NA
"196","MD",2020-03-10,NA,526968,647296
"197","MD",2020-03-17,0,529296,255410
"198","MD",2020-03-24,3,1591673,236206
"199","MD",2020-03-31,15,1375405,319668
"200","MD",2020-04-07,85,NA,NA
"201","MD",2020-04-14,199,NA,NA
"202","MD",2020-04-21,282,NA,NA
"203","MD",2020-04-28,432,NA,NA
"204","MD",2020-05-05,176,NA,NA
"205","ME",2020-03-10,NA,51450,69703
"206","ME",2020-03-17,0,50500,38269
"207","ME",2020-03-24,0,40005,23491
"208","ME",2020-03-31,5,85001,50516
"209","ME",2020-04-07,7,NA,NA
"210","ME",2020-04-14,8,NA,NA
"211","ME",2020-04-21,16,NA,NA
"212","ME",2020-04-28,15,NA,NA
"213","ME",2020-05-05,4,NA,NA
"214","MI",2020-03-03,NA,251191,228214
"215","MI",2020-03-10,0,556222,698088
"216","MI",2020-03-17,0,292808,587661
"217","MI",2020-03-24,24,464834,126025
"218","MI",2020-03-31,235,588402,323464
"219","MI",2020-04-07,586,NA,250
"220","MI",2020-04-14,923,NA,NA
"221","MI",2020-04-21,932,NA,NA
"222","MI",2020-04-28,867,NA,NA
"223","MI",2020-05-05,299,NA,NA
"224","MN",2020-03-10,NA,106810,251797
"225","MN",2020-03-17,0,148609,126097
"226","MN",2020-03-24,1,96287,88102
"227","MN",2020-03-31,11,113084,181339
"228","MN",2020-04-07,22,NA,NA
"229","MN",2020-04-14,45,NA,NA
"230","MN",2020-04-21,81,NA,NA
"231","MN",2020-04-28,141,NA,NA
"232","MN",2020-05-05,70,NA,NA
"233","MO",2020-03-10,NA,148350,203385
"234","MO",2020-03-17,0,142316,88841
"235","MO",2020-03-24,3,50500,86227
"236","MO",2020-03-31,11,42500,220370
"237","MO",2020-04-07,39,NA,NA
"238","MO",2020-04-14,80,NA,NA
"239","MO",2020-04-21,56,NA,NA
"240","MO",2020-04-28,125,NA,NA
"241","MO",2020-05-05,23,NA,NA
"242","MP",2020-03-17,NA,NA,NA
"243","MP",2020-03-24,0,NA,NA
"244","MP",2020-03-31,0,NA,NA
"245","MP",2020-04-07,2,NA,NA
"246","MP",2020-04-14,0,NA,NA
"247","MP",2020-04-21,0,NA,NA
"248","MP",2020-04-28,0,NA,NA
"249","MP",2020-05-05,0,NA,NA
